mode,class_id,coarse_class_id,filename,path,size,extension,img_path,size_x,size_y,channels,color_mode
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_002.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_002.jpg,19583,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_002.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_003.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_003.jpg,15908,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_003.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_004.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_004.jpg,19322,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_004.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_005.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_005.jpg,17545,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_005.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_006.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_006.jpg,21607,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_006.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_007.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_007.jpg,19909,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_007.jpg,348,464,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_008.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_008.jpg,23378,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_008.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_009.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_009.jpg,19981,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_009.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_010.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_010.jpg,22042,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_010.jpg,348,348,3,RGB
train,0,0,train/Fruit/Apple/Golden-Delicious/Golden-Delicious_011.jpg,dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_011.jpg,20252,jpg,/sf/src/taller2/GroceryStoreDataset/dataset/train/Fruit/Apple/Golden-Delicious/Golden-Delicious_011.jpg,348,348,3,RGB
